name,address,city,state,zip
Parkside,301 E 6th St,Austin,TX,78701
Vaquero Taquero - Downtown,603 Sabine St,Austin,TX,78701
Mohawk Austin,912 Red River St,Austin,TX,78701
The Iron Bear,301 W 6th St,Austin,TX,78701
The 13th floor,711 Red River St,Austin,TX,78701
The White Horse,500 Comal St,Austin,TX,78702
HOTEL VEGAS,1502 E 6th St,Austin,TX,78702
The Volstead Lounge,1500 E 6th St,Austin,TX,78702
Austin Garden & Studio,1209 E 6th St,Austin,TX,78702
BME @ Renaissance Hotel,650 E 10th St,Austin,TX,78701
Stubb's Bar-B-Q,801 Red River St,Austin,TX,78701
Swan Dive,615 Red River St,Austin,TX,78701
High Noon,2000 E Cesar Chavez St,Austin,TX,78702
The Coral Snake,1910 E Cesar Chavez St,Austin,TX,78702
Lazarus Brewing Co.,1902 E 6th St,Austin,TX,78702
